	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Tbcel	1118.26135060577	0.535082647174854	0.242566161790662	2.20592453302138	0.0273892841609188	0.117544091234429
4930426D05Rik	258.412411045602	1.11310449933998	0.504601017343048	2.20591013708411	0.027390292313003	0.117544091234429
Adamdec1	14.7994182858269	7.76783002076397	3.521949351044	2.20554847515379	0.0274156301209073	0.117622355077138
Esyt1	1658.80172563145	0.432214107277833	0.196037633233279	2.2047506907182	0.0274715939088868	0.117831940212509
Notch2	8574.40390968365	-0.254689086611569	0.115528010585602	-2.20456567477074	0.0274845866629894	0.117857151973186
Bcas2	1837.67966572521	-0.51028485103895	0.231491688796069	-2.20433335508854	0.0275009088310536	0.117896623909524
Fam13a	273.474694322128	1.02831938522616	0.466653911641623	2.20360176904695	0.0275523627723167	0.118086646655479
Gstt4	9.98790127447977	7.19978662267611	3.26758386201357	2.2033976561016	0.0275667332602816	0.118117676269158
Rasgrf2	50.8167559158855	-3.50548592176692	1.59109294397098	-2.20319368208502	0.0275811004248894	0.118148675598214
4930578E11Rik	29.0431919170894	5.64894149234992	2.56421715125842	2.20298873267329	0.0275955427970456	0.118179980980626
Ankrd52	4823.94826427534	-0.255871136858057	0.116181397353663	-2.20234170604069	0.027641180269214	0.118344831005306
Cnpy3	1449.87157201913	0.461208493725002	0.209440451201522	2.20209845366132	0.0276583546969743	0.1183877637094
Trrap	11574.0836666746	-0.187154956076414	0.085007288729051	-2.20163422307168	0.0276911564639489	0.118497547616976
Tango6	572.755630687429	-0.996766601633524	0.452849967005644	-2.20109677433432	0.0277291736015401	0.118598957064165
Tmem65	1534.39897204426	0.531476282349603	0.241450031892852	2.20118538889013	0.0277229022383292	0.118598957064165
Cstf2	2745.19263334566	-0.333890324595197	0.151733891075022	-2.20049932305572	0.0277714879153745	0.118749276540573
Abca7	1161.08340384219	0.748705225370745	0.340274442093336	2.20029814982513	0.0277857484760858	0.118779593162932
Cbfb	3466.48438561096	-0.376762761842612	0.17129248860186	-2.19952879964476	0.0278403436413655	0.11898227358597
Rtn2	314.960326264119	0.989846505940787	0.450048215640086	2.19942324298068	0.0278478414378399	0.118983619658968
